cenario,modulo,datahora_sinal,datahora_entrada,datahora_saida,direcao,take,stop,pontos,resultado
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-01-01 20:58:00,2025-01-01 21:00:00,2025-01-01 21:16:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2025-01-03 10:30:00,2025-01-03 10:32:00,2025-01-03 11:38:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-01-05 20:58:00,2025-01-05 21:00:00,2025-01-06 04:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2025-01-10 10:30:00,2025-01-10 10:32:00,2025-01-10 10:32:00,SELL,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-01-15 20:58:00,2025-01-15 21:00:00,2025-01-16 04:04:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-01-20 03:48:00,2025-01-20 03:50:00,2025-01-20 10:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-01-20 10:30:00,2025-01-20 10:32:00,2025-01-20 10:52:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-01-21 03:48:00,2025-01-21 03:50:00,2025-01-21 04:44:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-01-27 10:30:00,2025-01-27 10:32:00,2025-01-27 11:30:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-01-28 03:48:00,2025-01-28 03:50:00,2025-01-28 04:18:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-02 20:58:00,2025-02-02 21:00:00,2025-02-02 23:40:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-02-03 03:48:00,2025-02-03 03:50:00,2025-02-03 04:48:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-02-03 10:30:00,2025-02-03 10:32:00,2025-02-03 11:38:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-05 20:58:00,2025-02-05 21:00:00,2025-02-06 02:18:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_SELL,2025-02-07 10:30:00,2025-02-07 10:32:00,2025-02-07 11:32:00,SELL,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-09 20:58:00,2025-02-09 21:00:00,2025-02-09 21:56:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_1030_BUY,2025-02-10 10:30:00,2025-02-10 10:32:00,2025-02-10 12:00:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-12 20:58:00,2025-02-12 21:00:00,2025-02-13 05:30:00,BUY,45.5,117.0,-117.0,STOP
DMI3_TAKE45_SOZINHO,DMI3_2058_BUY,2025-02-16 20:58:00,2025-02-16 21:00:00,2025-02-16 23:12:00,BUY,45.5,117.0,45.5,TAKE
DMI3_TAKE45_SOZINHO,DMI3_0348_BUY,2025-02-18 03:48:00,2025-02-18 03:50:00,2025-02-18 11:46:00,BUY,45.5,117.0,-117.0,STOP
